,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country_name,Continent
71,PISAMATH,BOY,MEANSCORE,A,2006,554.0,Finland,EU
72,PISAMATH,BOY,MEANSCORE,A,2009,542.0,Finland,EU
73,PISAMATH,BOY,MEANSCORE,A,2012,517.391,Finland,EU
74,PISAMATH,BOY,MEANSCORE,A,2015,507.0,Finland,EU
75,PISAMATH,BOY,MEANSCORE,A,2018,504.0,Finland,EU
76,PISAMATH,GIRL,MEANSCORE,A,2003,541.0,Finland,EU
77,PISAMATH,GIRL,MEANSCORE,A,2006,543.0,Finland,EU
78,PISAMATH,GIRL,MEANSCORE,A,2009,539.0,Finland,EU
79,PISAMATH,GIRL,MEANSCORE,A,2012,520.185,Finland,EU
80,PISAMATH,GIRL,MEANSCORE,A,2015,515.0,Finland,EU
81,PISAMATH,GIRL,MEANSCORE,A,2018,510.0,Finland,EU
82,PISAMATH,BOY,MEANSCORE,A,2003,515.0,France,EU
83,PISAMATH,BOY,MEANSCORE,A,2006,499.0,France,EU
84,PISAMATH,BOY,MEANSCORE,A,2009,505.0,France,EU
85,PISAMATH,BOY,MEANSCORE,A,2012,499.355,France,EU
86,PISAMATH,BOY,MEANSCORE,A,2015,496.0,France,EU
87,PISAMATH,BOY,MEANSCORE,A,2018,499.0,France,EU
88,PISAMATH,GIRL,MEANSCORE,A,2003,507.0,France,EU
89,PISAMATH,GIRL,MEANSCORE,A,2006,492.0,France,EU
90,PISAMATH,GIRL,MEANSCORE,A,2009,489.0,France,EU
91,PISAMATH,GIRL,MEANSCORE,A,2012,490.853,France,EU
92,PISAMATH,GIRL,MEANSCORE,A,2015,490.0,France,EU
93,PISAMATH,GIRL,MEANSCORE,A,2018,492.0,France,EU
94,PISAMATH,BOY,MEANSCORE,A,2003,508.0,Germany,EU
95,PISAMATH,BOY,MEANSCORE,A,2006,513.0,Germany,EU
96,PISAMATH,BOY,MEANSCORE,A,2009,520.0,Germany,EU
97,PISAMATH,BOY,MEANSCORE,A,2012,520.19,Germany,EU
98,PISAMATH,BOY,MEANSCORE,A,2015,514.0,Germany,EU
99,PISAMATH,BOY,MEANSCORE,A,2018,503.0,Germany,EU
100,PISAMATH,GIRL,MEANSCORE,A,2003,499.0,Germany,EU
101,PISAMATH,GIRL,MEANSCORE,A,2006,494.0,Germany,EU
102,PISAMATH,GIRL,MEANSCORE,A,2009,505.0,Germany,EU
103,PISAMATH,GIRL,MEANSCORE,A,2012,506.625,Germany,EU
104,PISAMATH,GIRL,MEANSCORE,A,2015,498.0,Germany,EU
105,PISAMATH,GIRL,MEANSCORE,A,2018,496.0,Germany,EU
106,PISAMATH,BOY,MEANSCORE,A,2003,455.0,Greece,EU
107,PISAMATH,BOY,MEANSCORE,A,2006,462.0,Greece,EU
108,PISAMATH,BOY,MEANSCORE,A,2009,473.0,Greece,EU
109,PISAMATH,BOY,MEANSCORE,A,2012,457.039,Greece,EU
110,PISAMATH,BOY,MEANSCORE,A,2015,454.0,Greece,EU
111,PISAMATH,BOY,MEANSCORE,A,2018,452.0,Greece,EU
112,PISAMATH,GIRL,MEANSCORE,A,2003,436.0,Greece,EU
113,PISAMATH,GIRL,MEANSCORE,A,2006,457.0,Greece,EU
114,PISAMATH,GIRL,MEANSCORE,A,2009,459.0,Greece,EU
115,PISAMATH,GIRL,MEANSCORE,A,2012,448.984,Greece,EU
116,PISAMATH,GIRL,MEANSCORE,A,2015,454.0,Greece,EU
117,PISAMATH,GIRL,MEANSCORE,A,2018,451.0,Greece,EU
118,PISAMATH,BOY,MEANSCORE,A,2003,494.0,Hungary,EU
119,PISAMATH,BOY,MEANSCORE,A,2006,496.0,Hungary,EU
120,PISAMATH,BOY,MEANSCORE,A,2009,496.0,Hungary,EU
121,PISAMATH,BOY,MEANSCORE,A,2012,481.749,Hungary,EU
122,PISAMATH,BOY,MEANSCORE,A,2015,481.0,Hungary,EU
123,PISAMATH,BOY,MEANSCORE,A,2018,486.0,Hungary,EU
124,PISAMATH,GIRL,MEANSCORE,A,2003,486.0,Hungary,EU
125,PISAMATH,GIRL,MEANSCORE,A,2006,486.0,Hungary,EU
126,PISAMATH,GIRL,MEANSCORE,A,2009,484.0,Hungary,EU
127,PISAMATH,GIRL,MEANSCORE,A,2012,472.664,Hungary,EU
128,PISAMATH,GIRL,MEANSCORE,A,2015,473.0,Hungary,EU
129,PISAMATH,GIRL,MEANSCORE,A,2018,477.0,Hungary,EU
130,PISAMATH,BOY,MEANSCORE,A,2003,508.0,Iceland,EU
131,PISAMATH,BOY,MEANSCORE,A,2006,503.0,Iceland,EU
132,PISAMATH,BOY,MEANSCORE,A,2009,508.0,Iceland,EU
133,PISAMATH,BOY,MEANSCORE,A,2012,489.72,Iceland,EU
134,PISAMATH,BOY,MEANSCORE,A,2015,487.0,Iceland,EU
135,PISAMATH,BOY,MEANSCORE,A,2018,490.0,Iceland,EU
136,PISAMATH,GIRL,MEANSCORE,A,2003,523.0,Iceland,EU
137,PISAMATH,GIRL,MEANSCORE,A,2006,508.0,Iceland,EU
138,PISAMATH,GIRL,MEANSCORE,A,2009,505.0,Iceland,EU
139,PISAMATH,GIRL,MEANSCORE,A,2012,495.947,Iceland,EU
140,PISAMATH,GIRL,MEANSCORE,A,2015,489.0,Iceland,EU
141,PISAMATH,GIRL,MEANSCORE,A,2018,500.0,Iceland,EU
142,PISAMATH,BOY,MEANSCORE,A,2003,510.0,Ireland,EU
143,PISAMATH,BOY,MEANSCORE,A,2006,507.0,Ireland,EU
